,loss_of_supply,immediate_failure,islanded_failure,soc,battery_kwh,solar_generation_kw,load_demand_kw,pv_to_load_kw,pv_to_battery_kw,battery_to_load_kw,grid_to_load_kw,unmet_load_kw,can_charge,battery_can_discharge,Grid,PCC_Breaker,Islanding_Controller,PV_Array,PV_Inverter,Battery_Pack,BMS,PCS
2026-01-01 00:00:00,0,0,0,43.944705115658614,8.788941023131724,0.0,1.150506028024863,0.0,0.0,1.150506028024863,0.0,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 01:00:00,0,0,0,38.68154722092177,7.736309444184355,0.0,1.0,0.0,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0,1,1,1,1,1,1,1,1,1
2026-01-01 02:00:00,0,0,0,33.418389326184936,6.683677865236987,0.0,1.0,0.0,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0,1,1,1,1,1,1,1,1,1
2026-01-01 03:00:00,0,0,0,26.862372776445937,5.3724745552891875,0.0,1.2456431444504097,0.0,0.0,1.2456431444504097,0.0,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 04:00:00,0,0,0,18.887685511497725,3.7775371022995454,0.0,1.51519058034016,0.0,0.0,1.51519058034016,0.0,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 05:00:00,0,0,0,9.382091464200546,1.8764182928401092,0.0,1.8060628689864644,0.0,0.0,1.8060628689864644,0.0,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 06:00:00,0,0,0,0.0,0.0,0.0,2.1094626280109514,0.0,0.0,1.7825973781981037,0.3268652498128477,0.0,0,1,1,1,1,1,1,1,1,1
2026-01-01 07:00:00,0,0,0,0.0,0.0,0.0361481538344751,2.1018682066590406,0.0361481538344751,0.0,0.0,2.0657200528245654,0.0,0,0,1,1,1,1,1,1,1,1
2026-01-01 08:00:00,0,0,0,0.0,0.0,0.0764723560701272,2.548012677832419,0.0764723560701272,0.0,0.0,2.471540321762292,0.0,0,0,1,1,1,1,1,1,1,1
2026-01-01 09:00:00,0,0,0,0.0,0.0,0.1868820985138352,2.553446130861317,0.1868820985138352,0.0,0.0,2.366564032347482,0.0,0,0,1,1,1,1,1,1,1,1
2026-01-01 10:00:00,0,0,0,0.0,0.0,0.0741063686303237,2.805259765368475,0.0741063686303237,0.0,0.0,2.7311533967381516,0.0,0,0,1,1,1,1,1,1,1,1
2026-01-01 11:00:00,0,0,0,0.0,0.0,0.0289685370813771,2.7955884454944777,0.0289685370813771,0.0,0.0,2.7666199084131007,0.0,0,0,1,1,1,1,1,1,1,1
2026-01-01 12:00:00,0,0,0,0.0,0.0,0.0884773014092061,2.636267151642678,0.0884773014092061,0.0,0.0,2.547789850233472,0.0,0,0,1,1,1,1,1,1,1,1
2026-01-01 13:00:00,0,0,0,0.0,0.0,0.0287449976225708,3.1191713451555128,0.0287449976225708,0.0,0.0,3.090426347532942,0.0,0,0,1,1,1,1,1,1,1,1
2026-01-01 14:00:00,0,0,0,0.0,0.0,0.0591422776640485,2.7386969348965793,0.0591422776640485,0.0,0.0,2.6795546572325306,0.0,0,0,1,1,1,1,1,1,1,1
