,soc,battery_kwh,solar_generation_kw,load_demand_kw,pv_to_load_kw,pv_to_battery_kw,battery_to_load_kw,grid_to_load_kw,unmet_load_kw,can_charge
2026-01-01 00:00:00,44.73684210526316,8.947368421052632,0.0,1.0,0.0,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0
2026-01-01 01:00:00,37.141120812584276,7.428224162516855,0.0,1.4431870456089873,0.0,0.0,1.4431870456089873,0.0,0.0,0
2026-01-01 02:00:00,28.925663872279156,5.785132774455831,0.0,1.5609368186579733,0.0,0.0,1.5609368186579733,0.0,0.0,0
2026-01-01 03:00:00,21.665236183700163,4.333047236740033,0.0,1.3794812608300084,0.0,0.0,1.3794812608300084,0.0,0.0,0
2026-01-01 04:00:00,5.943442670835298,1.1886885341670594,0.0,2.987140767444324,0.0,0.0,2.987140767444324,0.0,0.0,0
2026-01-01 05:00:00,0.0,0.0,0.0,2.676862077114321,0.0,0.0,1.1292541074587064,1.5476079696556146,0.0,0
2026-01-01 06:00:00,0.0,0.0,0.0,3.3286272080144377,0.0,0.0,0.0,3.3286272080144377,0.0,0
2026-01-01 07:00:00,0.0,0.0,0.0361481538344751,3.8251830601033987,0.0361481538344751,0.0,0.0,3.7890349062689235,0.0,0
2026-01-01 08:00:00,0.0,0.0,0.0764723560701272,4.257514151957147,0.0764723560701272,0.0,0.0,4.18104179588702,0.0,0
2026-01-01 09:00:00,0.0,0.0,0.1868820985138352,3.5355995414726187,0.1868820985138352,0.0,0.0,3.3487174429587836,0.0,0
2026-01-01 10:00:00,0.0,0.0,0.0741063686303237,4.66688070816779,0.0741063686303237,0.0,0.0,4.592774339537466,0.0,0
2026-01-01 11:00:00,0.0,0.0,0.0289685370813771,4.66916580974283,0.0289685370813771,0.0,0.0,4.640197272661452,0.0,0
2026-01-01 12:00:00,0.0,0.0,0.0884773014092061,4.545389324621594,0.0884773014092061,0.0,0.0,4.4569120232123876,0.0,0
2026-01-01 13:00:00,0.0,0.0,0.0287449976225708,4.139268334956017,0.0287449976225708,0.0,0.0,4.110523337333446,0.0,0
2026-01-01 14:00:00,0.0,0.0,0.0591422776640485,4.236674539811998,0.0591422776640485,0.0,0.0,4.177532262147949,0.0,0
2026-01-01 15:00:00,0.0,0.0,0.0,3.9219975716028066,0.0,0.0,0.0,3.9219975716028066,0.0,0
2026-01-01 16:00:00,0.0,0.0,0.0596546427767138,4.440828276655634,0.0596546427767138,0.0,0.0,4.3811736338789204,0.0,0
2026-01-01 17:00:00,0.0,0.0,0.0561648371149458,3.828867537358363,0.0561648371149458,0.0,0.0,3.7727027002434173,0.0,0
2026-01-01 18:00:00,0.0,0.0,0.0428050473933348,2.9124922546336762,0.0428050473933348,0.0,0.0,2.869687207240341,0.0,0
2026-01-01 19:00:00,0.0,0.0,0.0,3.322220817659314,0.0,0.0,0.0,3.322220817659314,0.0,0
2026-01-01 20:00:00,0.0,0.0,0.0,2.929454307532371,0.0,0.0,0.0,0.0,2.929454307532371,0
2026-01-01 21:00:00,0.0,0.0,0.0,2.3720733486289056,0.0,0.0,0.0,0.0,2.3720733486289056,0
2026-01-01 22:00:00,0.0,0.0,0.0,1.5565788932407334,0.0,0.0,0.0,0.0,1.5565788932407334,0
2026-01-01 23:00:00,0.0,0.0,0.0,2.40026375779709,0.0,0.0,0.0,0.0,2.40026375779709,0
2026-01-02 00:00:00,0.0,0.0,0.0,1.381644374660346,0.0,0.0,0.0,0.0,1.381644374660346,0
2026-01-02 01:00:00,0.0,0.0,0.0,1.8765097775209094,0.0,0.0,0.0,0.0,1.8765097775209094,0
2026-01-02 02:00:00,0.0,0.0,0.0,1.62172812485887,0.0,0.0,0.0,0.0,1.62172812485887,0
2026-01-02 03:00:00,0.0,0.0,0.0,1.528386280593173,0.0,0.0,0.0,0.0,1.528386280593173,0
2026-01-02 04:00:00,0.0,0.0,0.0,2.1484457443329195,0.0,0.0,0.0,0.0,2.1484457443329195,0
2026-01-02 05:00:00,0.0,0.0,0.0,2.5619236790712603,0.0,0.0,0.0,0.0,2.5619236790712603,0
2026-01-02 06:00:00,0.0,0.0,0.0,3.6104260520641147,0.0,0.0,0.0,0.0,3.6104260520641147,0
2026-01-02 07:00:00,0.0,0.0,0.0030794972607217,3.3592581617333943,0.0,0.0,0.0,0.0,3.3592581617333943,0
2026-01-02 08:00:00,0.0,0.0,0.0359143944589269,4.283233646642672,0.0359143944589269,0.0,0.0,0.0,4.247319252183745,0
2026-01-02 09:00:00,0.0,0.0,0.0594111383421391,4.408340461336734,0.0594111383421391,0.0,0.0,0.0,4.348929322994595,0
2026-01-02 10:00:00,0.0,0.0,0.0456774006844351,4.445982757647216,0.0456774006844351,0.0,0.0,0.0,4.400305356962781,0
2026-01-02 11:00:00,0.0,0.0,0.15725498123755,4.127318400226919,0.15725498123755,0.0,0.0,0.0,3.970063418989369,0
2026-01-02 12:00:00,0.0,0.0,0.1238987460771286,5.003881860256904,0.1238987460771286,0.0,0.0,0.0,4.879983114179775,0
2026-01-02 13:00:00,0.0,0.0,0.0712524045956175,4.047770324664818,0.0712524045956175,0.0,0.0,0.0,3.9765179200692002,0
2026-01-02 14:00:00,0.0,0.0,0.0782337777588903,4.418147392262123,0.0782337777588903,0.0,0.0,0.0,4.339913614503232,0
2026-01-02 15:00:00,0.0,0.0,0.0096195616612433,4.337393947434158,0.0,0.0,0.0,0.0,4.337393947434158,0
2026-01-02 16:00:00,0.0,0.0,0.0506624392023148,3.84294316441,0.0506624392023148,0.0,0.0,0.0,3.792280725207685,0
2026-01-02 17:00:00,0.0,0.0,0.1228979737971701,2.9489204117653065,0.1228979737971701,0.0,0.0,0.0,2.8260224379681365,0
2026-01-02 18:00:00,0.0,0.0,0.0,2.4789725574475514,0.0,0.0,0.0,0.0,2.4789725574475514,0
2026-01-02 19:00:00,0.0,0.0,0.0,2.779556388628397,0.0,0.0,0.0,0.0,2.779556388628397,0
2026-01-02 20:00:00,0.0,0.0,0.0,2.1756274848656463,0.0,0.0,0.0,0.0,2.1756274848656463,0
2026-01-02 21:00:00,0.0,0.0,0.0,2.636039906170036,0.0,0.0,0.0,2.636039906170036,0.0,0
2026-01-02 22:00:00,0.0,0.0,0.0,1.4919977326068312,0.0,0.0,0.0,1.4919977326068312,0.0,0
2026-01-02 23:00:00,0.0,0.0,0.0,1.5595949391444264,0.0,0.0,0.0,1.5595949391444264,0.0,0
2026-01-03 00:00:00,0.0,0.0,0.0,1.2039399140818317,0.0,0.0,0.0,1.2039399140818317,0.0,0
2026-01-03 01:00:00,0.0,0.0,0.0,1.8375566705400392,0.0,0.0,0.0,1.8375566705400392,0.0,0
2026-01-03 02:00:00,0.0,0.0,0.0,1.1711289680632708,0.0,0.0,0.0,1.1711289680632708,0.0,0
2026-01-03 03:00:00,0.0,0.0,0.0,2.1353419411722414,0.0,0.0,0.0,2.1353419411722414,0.0,0
2026-01-03 04:00:00,0.0,0.0,0.0,2.5192553158360393,0.0,0.0,0.0,2.5192553158360393,0.0,0
2026-01-03 05:00:00,0.0,0.0,0.0,3.3484663609265217,0.0,0.0,0.0,3.3484663609265217,0.0,0
2026-01-03 06:00:00,0.0,0.0,0.079501443291666,3.35639643900898,0.0,0.0,0.0,3.35639643900898,0.0,0
2026-01-03 07:00:00,0.0,0.0,0.0,3.016518228555852,0.0,0.0,0.0,3.016518228555852,0.0,0
2026-01-03 08:00:00,0.0,0.0,0.0073426464055189,4.384495063867641,0.0,0.0,0.0,4.384495063867641,0.0,0
2026-01-03 09:00:00,0.0,0.0,0.1347996935346536,4.161216367610523,0.0,0.0,0.0,4.161216367610523,0.0,0
2026-01-03 10:00:00,0.0,0.0,0.0,4.521794385738354,0.0,0.0,0.0,4.521794385738354,0.0,0
2026-01-03 11:00:00,0.0,0.0,0.0454921439822707,4.216095562069533,0.0,0.0,0.0,4.216095562069533,0.0,0
2026-01-03 12:00:00,0.0,0.0,0.2127782569060933,5.145275962358096,0.0,0.0,0.0,5.145275962358096,0.0,0
2026-01-03 13:00:00,0.0,0.0,0.0824713628389156,4.6842787510568575,0.0,0.0,0.0,4.6842787510568575,0.0,0
2026-01-03 14:00:00,0.0,0.0,0.0,4.9709117707350545,0.0,0.0,0.0,4.9709117707350545,0.0,0
2026-01-03 15:00:00,0.0,0.0,0.0426041630093678,4.375461742413025,0.0,0.0,0.0,4.375461742413025,0.0,0
2026-01-03 16:00:00,0.0,0.0,0.1101072537379036,3.295850478904723,0.0,0.0,0.0,3.295850478904723,0.0,0
2026-01-03 17:00:00,0.0,0.0,0.0513319776694966,4.1030913450015305,0.0,0.0,0.0,4.1030913450015305,0.0,0
2026-01-03 18:00:00,0.0,0.0,0.0748035465553983,2.5347326743493,0.0,0.0,0.0,2.5347326743493,0.0,0
2026-01-03 19:00:00,0.0,0.0,0.0,2.830584912844624,0.0,0.0,0.0,2.830584912844624,0.0,0
2026-01-03 20:00:00,0.0,0.0,0.0,3.111562348948624,0.0,0.0,0.0,3.111562348948624,0.0,0
2026-01-03 21:00:00,0.0,0.0,0.0,1.9021484183875788,0.0,0.0,0.0,1.9021484183875788,0.0,0
2026-01-03 22:00:00,0.0,0.0,0.0,1.937964121538906,0.0,0.0,0.0,1.937964121538906,0.0,0
