time,Grid_health,Grid_age,PCC_Breaker_health,PCC_Breaker_age,Islanding_Controller_health,Islanding_Controller_age,PV_Array_health,PV_Array_age,PV_Inverter_health,PV_Inverter_age,Battery_Pack_health,Battery_Pack_age,BMS_health,BMS_age,PCS_health,PCS_age,PV_Array_efficiency,PV_Inverter_efficiency,Battery_Pack_resistance,BMS_resistance,PCS_resistance,grid_voltage,PV_Inverter_temp,Battery_Pack_temp,PCS_temp
2026-01-01 00:00:00,0.9989821922828414,1.0,0.9819527569365458,1.0,1.0,1.0,1.0,1.0,0.9942112934701071,1.0,0.993572871696167,1.0,0.984767585875092,1.0,1.0,1.0,0.9355914205206648,0.958680987483935,1.0,1.0280790155945945,1.0141729961879982,418.2334984559324,25.17683553545636,25.0,27.042572220761112
2026-01-01 01:00:00,0.9649784882118833,2.0,1.0,2.0,0.9674337779531823,2.0,0.9761352198099957,2.0,1.0,2.0,0.9910117249617387,2.0,0.9968001359874764,2.0,0.9846489304644136,2.0,0.9221156030880053,0.98,1.0432366621071767,1.0291030943663992,1.0,411.87560925878756,27.292595052807698,25.305411630507884,25.0
2026-01-01 02:00:00,0.9951044909912021,3.0,1.0,3.0,0.9920677229732823,3.0,0.936808903644086,3.0,1.0,3.0,0.9786028627795851,3.0,0.9873998318892462,3.0,0.9760603223177523,3.0,0.9423077873621026,0.9380565375413699,1.0,1.0,1.0762319557798792,410.4832418574737,26.505739520733755,26.55731852041691,25.0
2026-01-01 03:00:00,1.0,4.0,1.0,4.0,1.0,4.0,0.9642936602986034,4.0,0.9792307545284218,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.9384794537538406,0.9383057752534436,1.0788789816696578,1.0288372559889165,1.0011878906696778,406.55177406311964,25.034132549949923,27.33194698662626,25.92303932925383
2026-01-01 04:00:00,1.0,5.0,0.9918052772948153,5.0,1.0,5.0,0.9947053195111255,5.0,0.98104683017785,5.0,0.9999961670453981,5.0,1.0,5.0,0.9987922126290657,5.0,0.9748546009932048,0.9371153226695846,1.0557974149582268,1.0,1.003362236927028,406.65947353553815,26.86007723934864,25.0,25.0
2026-01-01 05:00:00,1.0,6.0,1.0,6.0,1.0,6.0,0.9965090927150437,6.0,0.9819429442895072,6.0,0.9969944411395322,6.0,0.977475740332714,6.0,0.9705426301007974,6.0,0.9262615610181906,0.931030553293914,1.0,1.0065077462299197,1.0,406.3247340193823,25.63112542223907,25.0,25.0
2026-01-01 06:00:00,0.9932897788995255,7.0,0.9785635125819966,7.0,0.9914921552456863,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,0.9585387760448965,0.9088992470630265,1.0645141097057924,1.0,1.0961527836113572,412.24168850128626,26.269790485659076,25.0,25.677470303285954
2026-01-01 07:00:00,1.0,8.0,1.0,8.0,0.9737303799662813,8.0,1.0,8.0,0.9976346634473666,8.0,1.0,8.0,0.9758619412849227,8.0,1.0,8.0,0.9252316424039086,0.9446136083004585,1.0106279969867684,1.0,1.0,411.2071940896551,25.0,26.22640675972321,25.0
2026-01-01 08:00:00,1.0,9.0,0.9969706586310164,9.0,0.9675490473454285,9.0,1.0,9.0,0.9529092858777388,9.0,1.0,9.0,1.0,9.0,0.9888007008419927,9.0,0.9040691256672306,0.9299416337467011,1.0204056952865395,1.0,1.0,412.78564075904944,25.0,25.637459554814612,25.0
2026-01-01 09:00:00,0.9856101099097799,10.0,0.9927274735024375,10.0,0.9763980340432218,10.0,0.9806833390225755,10.0,0.9664926089648415,10.0,1.0,10.0,0.9878086269885173,10.0,0.9927463521800126,10.0,0.9446565787734439,0.934756554744808,1.0,1.0521546575390104,1.0243282252871444,415.5265795923482,25.0,25.0,25.419308933332132
